,Mobile,Price,Battery,Storage,Android_Version
0,"
                                 OPPO Find N2 Flip                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>89,999</span>","<label class="""" title=""4300mAh"">4300mAh</label>","<div class=""finder_icon_storage_text"">256 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v13                        </div>"
1,"
                                 Xiaomi 13 Pro                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>79,999</span>","<label class="""" title=""4820 mAh"">4820 mAh</label>","<div class=""finder_icon_storage_text"">256 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v13                        </div>"
2,"
                                 OnePlus 11                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>56,999</span>","<label class="""" title=""5000 mAh"">5000 mAh</label>","<div class=""finder_icon_storage_text"">128 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v13, upgradable to v14                        </div>"
3,"
                                 Apple iPhone 13                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>61,999</span>","<label class="""" title=""3227 mAh"">3227 mAh</label>","<div class=""finder_icon_storage_text"">128 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_ios""></span>
                          iOS v15                        </div>"
4,"
                                 Samsung Galaxy S23 5G                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>74,998</span>","<label class="""" title=""3900 mAh"">3900 mAh</label>","<div class=""finder_icon_storage_text"">128 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v13, upgradable to v14                        </div>"
5,"
                                 Apple iPhone 14                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>70,999</span>","<label class="""" title=""3279 mAh"">3279 mAh</label>","<div class=""finder_icon_storage_text"">128 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_ios""></span>
                          iOS v16                        </div>"
6,"
                                 Samsung Galaxy S22 Ultra                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>89,989</span>","<label class="""" title=""5000 mAh"">5000 mAh</label>","<div class=""finder_icon_storage_text"">256 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v12, upgradable to v14                        </div>"
7,"
                                 iQOO 11 5G                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>59,990</span>","<label class="""" title=""5000 mAh"">5000 mAh</label>","<div class=""finder_icon_storage_text"">256 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v13                        </div>"
8,"
                                 Apple iPhone 12                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>53,999</span>","<label class="""" title=""2815 mAh"">2815 mAh</label>","<div class=""finder_icon_storage_text"">64 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_ios""></span>
                          iOS v14                        </div>"
9,"
                                 Samsung Galaxy S22                             ","<span class=""price price_padding""><span class=""WebRupee web_rupee_padding"">Rs.</span>51,150</span>","<label class="""" title=""3700 mAh"">3700 mAh</label>","<div class=""finder_icon_storage_text"">128 GB</div>","<div class=""os_icon_cat"">
<span class=""finder_icon icn_android""></span>
                          Android v12, upgradable to v14                        </div>"
